"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.927583330E-3,-3.472145647E-2,1.434093118E-1,-9.699204564E-2,1.765765193E-1
1.494658337E-2,-1.774367839E-1,8.651061356E-2,-4.351897165E-2,2.021430173E-1
2.496558335E-2,-2.877713442E-1,-6.858606637E-2,6.826156750E-4,2.958324881E-1
3.498458333E-2,-3.189598918E-1,-2.399921715E-1,9.890761226E-3,3.992862158E-1
4.500358336E-2,-2.973805964E-1,-2.997786701E-1,-1.009900495E-2,4.223795213E-1
5.502258334E-2,-2.457158118E-1,-2.294046730E-1,-4.491531104E-2,3.391462064E-1
6.504158332E-2,-1.991699189E-1,-1.060468629E-1,-7.677977532E-2,2.383479130E-1
7.506058336E-2,-1.706301421E-1,5.740658380E-3,-9.427061677E-2,1.950244850E-1
8.507958334E-2,-1.573473811E-1,7.351174951E-2,-8.251654357E-2,1.922788486E-1
9.509958333E-2,-1.368162781E-1,9.193044156E-2,-5.881121755E-2,1.750104550E-1
1.051185834E-1,-1.203789040E-1,7.542441785E-2,-3.787858412E-2,1.470194221E-1
1.151375833E-1,-1.109571755E-1,6.046675146E-3,-1.736798137E-2,1.124709022E-1
1.251565833E-1,-9.383373708E-2,-5.949181691E-2,-5.178703461E-3,1.112243924E-1
1.351755834E-1,-7.007594407E-2,-8.673302829E-2,-7.267687004E-3,1.117411089E-1
1.451945833E-1,-4.337229952E-2,-1.034501940E-1,-8.113351651E-3,1.124674419E-1
1.552135833E-1,-2.306170575E-2,-1.040075943E-1,-5.405982956E-3,1.066707392E-1
1.652325834E-1,-1.227022614E-3,-9.497126937E-2,6.041546818E-3,9.517115045E-2
1.752515833E-1,9.205112234E-3,-6.463653594E-2,5.042328499E-3,6.548313483E-2
1.852705833E-1,-7.612630725E-6,-4.150648788E-2,-9.538709186E-3,4.258844405E-2
1.952895834E-1,-9.995531291E-3,-2.658745833E-2,-1.705388352E-2,3.313062827E-2
2.053085833E-1,-2.159067616E-2,-9.449201636E-3,-1.916806400E-2,3.037860079E-2
2.153275834E-1,-2.169640362E-2,4.865821917E-3,-1.284438837E-2,2.567856043E-2
2.253457500E-1,-1.566736773E-2,1.365895569E-2,-5.610739812E-3,2.152937257E-2
2.353647500E-1,-2.213078085E-3,4.173841327E-3,-1.306093391E-2,1.388908423E-2
2.453837500E-1,1.899057999E-2,6.654917262E-3,-2.940589003E-2,3.563195786E-2
2.554027500E-1,4.592099786E-2,2.334867604E-2,-4.739021882E-2,6.999808253E-2
2.654217500E-1,8.156980574E-2,5.281415582E-2,-5.777281895E-2,1.130516115E-1
2.754407500E-1,1.096003726E-1,8.758545667E-2,-6.452073157E-2,1.544227273E-1
2.854597500E-1,1.223647222E-1,9.285021573E-2,-8.282092959E-2,1.745095819E-1
2.954787500E-1,1.221082583E-1,8.054534346E-2,-8.680048585E-2,1.700949836E-1
3.054977500E-1,1.088608056E-1,7.247018069E-2,-7.341362536E-2,1.499738727E-1
3.155167500E-1,9.401155263E-2,4.851451516E-2,-5.237678066E-2,1.180472675E-1
3.255357500E-1,7.972943783E-2,2.038616873E-2,-3.867959976E-2,9.093124089E-2
3.355547500E-1,7.552830130E-2,-1.747492701E-2,-2.873615548E-2,8.267807450E-2
3.455737500E-1,8.967702836E-2,-3.503279388E-2,-2.603671886E-2,9.973553424E-2
3.555927500E-1,1.097290367E-1,-4.353520274E-2,-2.113783360E-2,1.199274088E-1
3.656117500E-1,1.327468902E-1,-4.268597066E-2,-2.667304315E-2,1.419692931E-1
3.756307500E-1,1.463612467E-1,-2.874831855E-2,-2.192702331E-2,1.507609854E-1
3.856497500E-1,1.385497749E-1,-1.281433646E-2,-8.201468736E-3,1.393826081E-1
3.956687500E-1,1.207385585E-1,-3.574006259E-4,1.523301750E-2,1.216962286E-1
4.056877500E-1,9.038919955E-2,1.398074534E-2,1.600689068E-2,9.285412853E-2
4.157077500E-1,5.376300588E-2,2.249753475E-2,6.078359205E-3,5.859647022E-2
4.257257500E-1,3.929808363E-2,2.549285814E-2,1.227277610E-2,4.842361229E-2
4.357457500E-1,4.506249353E-2,6.700141728E-2,3.241879120E-2,8.701032274E-2
4.457647500E-1,9.768367559E-2,8.877798915E-2,6.199550629E-2,1.458323511E-1
4.557837500E-1,1.337236911E-1,1.262888759E-1,8.754054457E-2,2.037013812E-1
4.658027500E-1,1.319796592E-1,1.512315273E-1,9.389994293E-2,2.216005519E-1
4.758217500E-1,1.321756691E-1,1.799571812E-1,9.770373255E-2,2.437232322E-1
