"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
-2.335416502E-4,2.687697671E-2,-3.266235813E-2,7.460445049E-4,4.230553272E-2
9.801458335E-3,1.623536088E-2,-2.474465407E-2,1.437372994E-4,2.959570084E-2
1.983645835E-2,-8.383166976E-3,-1.787822694E-2,1.583846752E-4,1.974673575E-2
2.987145833E-2,-2.493306994E-2,-1.051647961E-2,-2.128466032E-3,2.714377807E-2
3.990645835E-2,-2.689448744E-2,-1.157588512E-2,-1.457427861E-4,2.928029733E-2
4.994145833E-2,-2.919583395E-2,-1.689354330E-2,-1.262703445E-3,3.375474701E-2
5.997545834E-2,-2.744906582E-2,-2.428354882E-2,-2.685097745E-3,3.674713196E-2
7.001045835E-2,-1.941670291E-2,-1.556191687E-2,-1.247064793E-3,2.491458968E-2
8.004545834E-2,-1.615086757E-2,-1.403592527E-2,1.982816961E-3,2.148928301E-2
9.008045835E-2,-1.845034957E-2,-2.201035246E-2,-1.075592590E-3,2.874070135E-2
1.001154583E-1,-2.662492171E-2,-1.853279769E-2,-9.498912259E-4,3.245386479E-2
1.101504583E-1,-3.314614296E-2,-1.000706572E-2,-2.865384100E-3,3.474217298E-2
1.201854583E-1,-2.717400156E-2,-2.953161020E-4,-3.443023656E-3,2.739284549E-2
1.302204583E-1,-2.567998506E-2,-9.591533802E-3,-5.024767946E-3,2.786947158E-2
1.402554583E-1,-3.126090392E-2,-1.445845980E-2,-5.077232141E-3,3.481478795E-2
1.502894583E-1,-3.119245917E-2,-1.241843123E-2,-3.275942057E-3,3.373305114E-2
1.603244584E-1,-1.271038689E-2,-1.358995587E-2,-6.793598877E-4,1.861994536E-2
1.703594583E-1,2.672359347E-3,-1.528490148E-2,-3.040658077E-3,1.581187274E-2
1.803944584E-1,-3.561301623E-3,3.426734591E-3,-1.101155067E-4,4.943430451E-3
1.904294583E-1,-8.846514858E-3,3.305545542E-3,1.199499355E-3,9.519782307E-3
2.004644584E-1,-6.917321123E-3,-1.063477062E-2,-3.792225034E-4,1.269218213E-2
2.104994583E-1,4.578792141E-4,-1.367310761E-4,-1.575950067E-3,1.646805203E-3
2.205344583E-1,2.347658388E-3,1.382835303E-2,2.393757924E-3,1.422901698E-2
2.305694583E-1,2.364439890E-3,1.275014365E-4,1.664776239E-3,2.894531488E-3
2.406034583E-1,1.126632188E-2,-4.174835514E-3,4.695495300E-4,1.202413144E-2
2.506384584E-1,1.746993884E-2,1.186779700E-2,1.339767128E-3,2.116219140E-2
2.606734583E-1,1.984760910E-2,1.496931352E-2,1.601289492E-3,2.491128384E-2
2.707084584E-1,2.177510969E-2,6.527640391E-3,5.389821716E-3,2.336269825E-2
2.807434583E-1,2.120785788E-2,5.407225341E-2,-3.803144209E-3,5.820692167E-2
2.907784584E-1,9.394937754E-2,2.010022551E-1,-5.519658444E-4,2.218754082E-1
3.008134583E-1,1.441584826E-1,2.429081649E-1,-9.322652477E-4,2.824657745E-1
3.108484583E-1,1.272066087E-1,1.804305017E-1,-5.907393992E-3,2.208428956E-1
3.208824584E-1,8.382718265E-2,1.299324334E-1,-9.802797576E-4,1.546298637E-1
3.309174583E-1,6.054870039E-2,1.444197148E-1,2.094848547E-3,1.566128588E-1
3.409524584E-1,7.981187105E-2,1.480890214E-1,1.880730386E-3,1.682374221E-1
3.509874583E-1,1.081042439E-1,1.108506620E-1,-5.580843892E-3,1.549372216E-1
3.610224584E-1,1.024780497E-1,7.482581586E-2,-7.034663577E-3,1.270832006E-1
3.710574583E-1,8.267260343E-2,1.247498989E-1,-3.486756682E-1,3.794364482E-1
3.810924584E-1,1.491195261E-1,1.583906859E-1,-8.263947964E-1,8.545481858E-1
3.911274583E-1,1.989210695E-1,2.224065214E-1,-1.249194264E0,1.284336624E0
4.011624584E-1,2.088245600E-1,2.449957281E-1,-1.169025898E0,1.212539547E0
4.111964584E-1,1.908237934E-1,2.983905971E-1,-7.605399489E-1,8.389706088E-1
4.212314583E-1,7.481168956E-2,1.303912252E-1,-2.259662896E-1,2.714026981E-1
