"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.394458331E-3,-1.361911744E-1,2.411512472E-2,-1.801915616E-1,2.271531952E-1
1.641445833E-2,-1.343524158E-1,1.744828187E-2,-1.812447757E-1,2.262845175E-1
2.643445833E-2,-1.092015281E-1,-7.275174372E-3,-1.578012258E-1,1.920393938E-1
3.645445834E-2,-6.720302999E-2,-4.348285869E-2,-1.376035661E-1,1.591909157E-1
4.647345833E-2,-2.936616726E-2,-6.982365251E-2,-1.215769351E-1,1.432433781E-1
5.649345833E-2,8.654827252E-4,-9.942995757E-2,-9.640330076E-2,1.384942667E-1
6.651345833E-2,2.177316137E-2,-1.159367561E-1,-7.119622082E-2,1.377835398E-1
7.653345833E-2,1.404317655E-2,-1.283800155E-1,-5.278853327E-2,1.395179860E-1
8.655245834E-2,-4.916932434E-3,-1.639167070E-1,-5.009927228E-2,1.714724472E-1
9.657245833E-2,-3.449178487E-2,-1.955789030E-1,-5.435791984E-2,2.059018552E-1
1.065924583E-1,-6.769207865E-2,-1.862280071E-1,-7.584323734E-2,2.121680579E-1
1.166124583E-1,-9.784164280E-2,-1.482573003E-1,-9.547391534E-2,2.016642821E-1
1.266314583E-1,-1.285353750E-1,-8.760381490E-2,-1.103284955E-1,1.907043469E-1
1.366514583E-1,-1.538395882E-1,-1.089481264E-2,-1.272415817E-1,1.999393306E-1
1.466714583E-1,-1.871110052E-1,6.030666456E-2,-1.403613687E-1,2.415548299E-1
1.566914583E-1,-2.161789984E-1,9.819274396E-2,-1.552287042E-1,2.836743290E-1
1.667104583E-1,-2.349228561E-1,1.113333106E-1,-1.695985943E-1,3.103989974E-1
1.767304583E-1,-2.449669242E-1,1.372402161E-1,-1.751506329E-1,3.309401986E-1
1.867504583E-1,-1.268746257E-1,5.152371526E-2,-1.236674637E-1,1.845142418E-1
1.967704583E-1,7.673672400E-3,5.173527822E-2,-3.182716668E-2,6.122411942E-2
2.067894583E-1,1.255691499E-1,5.155631527E-2,7.241454720E-2,1.538490549E-1
2.168094583E-1,2.078161091E-1,-2.221843600E-2,1.395992935E-1,2.513347505E-1
2.268294583E-1,2.574409246E-1,-1.286236942E-1,1.722618937E-1,3.354013185E-1
2.368484583E-1,2.848077416E-1,-2.392673343E-1,1.968030781E-1,4.208274688E-1
2.468684583E-1,3.061085045E-1,-3.312944770E-1,2.321136594E-1,5.072821679E-1
2.568884583E-1,3.210234046E-1,-3.892280757E-1,2.513822913E-1,5.636910303E-1
2.669084583E-1,3.279438913E-1,-3.995869756E-1,2.532459497E-1,5.756304873E-1
2.769274583E-1,3.361873627E-1,-3.838493824E-1,2.472167164E-1,5.669906490E-1
2.869474583E-1,3.299694061E-1,-3.253282905E-1,2.359006703E-1,5.199686835E-1
2.969674583E-1,3.257160783E-1,-2.794056237E-1,2.283242047E-1,4.860971185E-1
3.069874583E-1,3.198075891E-1,-2.542888224E-1,2.270192504E-1,4.674157028E-1
3.170074583E-1,3.139647841E-1,-2.321584672E-1,2.385622859E-1,4.575843133E-1
3.270264583E-1,2.938842773E-1,-2.229306251E-1,2.557218075E-1,4.488425948E-1
3.370464583E-1,2.672450244E-1,-2.459664792E-1,2.700116634E-1,4.525767453E-1
3.470664583E-1,2.202287763E-1,-2.941651642E-1,2.830662131E-1,4.638537903E-1
3.570854583E-1,1.636039466E-1,-3.677479029E-1,2.898919284E-1,4.960263114E-1
3.671054583E-1,9.887181222E-2,-4.629396498E-1,2.886543572E-1,5.544457526E-1
3.771254583E-1,3.297957033E-2,-5.617265105E-1,2.803599238E-1,6.286700339E-1
3.871454583E-1,-2.895463631E-2,-6.338174939E-1,2.630685568E-1,6.868537342E-1
3.971644583E-1,-7.755786180E-2,-6.766110063E-1,2.540295124E-1,7.268759653E-1
4.071844583E-1,-1.160700992E-1,-6.817343831E-1,2.568881512E-1,7.377164491E-1
4.172044583E-1,-1.427355260E-1,-6.807365417E-1,2.702479064E-1,7.461967573E-1
4.272244583E-1,-1.521814913E-1,-6.989533305E-1,2.881869674E-1,7.711982188E-1
4.372434583E-1,-1.450194120E-1,-7.303716540E-1,3.065728843E-1,8.052703374E-1
4.472634583E-1,-1.265645027E-1,-7.483986020E-1,3.276342452E-1,8.267183556E-1
4.572834583E-1,-1.105805114E-1,-7.140647769E-1,3.419630527E-1,7.994093348E-1
