"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.737076025637485E9,"2025-01-16 17:07:05.637 UTC-08:00"
"PAUSE",8.567566249999800E0,1.737076034205014E9,"2025-01-16 17:07:14.205 UTC-08:00"
"START",8.567566249999800E0,1.737076081387763E9,"2025-01-16 17:08:01.388 UTC-08:00"
"PAUSE",1.666493312500097E1,1.737076089485095E9,"2025-01-16 17:08:09.485 UTC-08:00"
"START",1.666493312500097E1,1.737076106199552E9,"2025-01-16 17:08:26.200 UTC-08:00"
"PAUSE",2.350798516667419E1,1.737076113042574E9,"2025-01-16 17:08:33.043 UTC-08:00"
"START",2.350798516667419E1,1.737076122714626E9,"2025-01-16 17:08:42.715 UTC-08:00"
"PAUSE",2.757363100000657E1,1.737076126780255E9,"2025-01-16 17:08:46.780 UTC-08:00"
"START",2.757363100000657E1,1.737076152964692E9,"2025-01-16 17:09:12.965 UTC-08:00"
"PAUSE",3.378083075000904E1,1.737076159171866E9,"2025-01-16 17:09:19.172 UTC-08:00"
"START",3.378083075000904E1,1.737076166786391E9,"2025-01-16 17:09:26.786 UTC-08:00"
"PAUSE",4.544173895834683E1,1.737076178447250E9,"2025-01-16 17:09:38.447 UTC-08:00"
"START",4.544173895834683E1,1.737076179486147E9,"2025-01-16 17:09:39.486 UTC-08:00"
"PAUSE",5.474323904167977E1,1.737076188787608E9,"2025-01-16 17:09:48.788 UTC-08:00"
