segment,start,end,keep,comment
0,4.97,6.05,,Intermediate axis rotation
1, 10.23, 11.12,, Intermediate axis rotation
2, 16.4, 17.37,, Intermediate axis rotation
3, 22.8, 23.4,, Intermediate axis rotation
4, 29.4, 30.3,, Intermediate axis rotation
5, 37.9, 38.75,, Intermediate axis rotation
6, 43.93, 44.8,, Intermediate axis rotation
7, 70.4, 71.35,, Intermediate axis rotation
8, 86.43, 87.3,, Intermediate axis rotation
9, 90.9, 91.92,, Intermediate axis rotation
10, 95.8, 96.7,, Intermediate axis rotation
11, 100.58, 101.62,, Intermediate axis rotation
12, 107.2, 108.26,, Intermediate axis rotation
13, 122.4, 123.27,, Intermediate axis rotation
14, 127.97, 129.05,, Intermediate axis rotation
15, 134.1, 135.1,, Intermediate axis rotation
16, 138.55, 139.7,, Intermediate axis rotation
17, 161.45, 162.58,, Intermediate axis rotation
18, 167.2, 168.42,, Intermediate axis rotation
19, 172.63, 173.6,, Intermediate axis rotation
20, 176.3, 177.25,, Intermediate axis rotation
21, 181.6, 182.55,, Intermediate axis rotation
22, 185.7, 186.7,, Intermediate axis rotation
23, 190, 191.07,, Intermediate axis rotation
24, 193.9, 194.75,, Intermediate axis rotation
25, 197.58, 198.4,, Intermediate axis rotation
26, 201.3, 202.35,, Intermediate axis rotation
27, 208.3, 209.3,, Intermediate axis rotation
28, 213.0, 213.9,, Intermediate axis rotation
29, 217.6, 218.68,, Intermediate axis rotation
30, 222.1, 223.15,, Intermediate axis rotation
31, 226.4, 227.45,, Intermediate axis rotation
32, 230.4, 231.4,, Intermediate axis rotation
33, 234.45, 235.57,, Intermediate axis rotation
