"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.883850000E-2,6.995122414E-3,-1.649990911E-3,-5.767915398E-3,9.215370618E-3
3.885850000E-2,4.446911160E-3,1.507301349E-4,-3.558118595E-3,5.697187584E-3
4.887950000E-2,6.575043313E-3,1.494561089E-3,-3.945874982E-3,7.812479555E-3
5.889950000E-2,5.800762679E-3,-9.059892036E-4,-3.052211832E-3,6.617073460E-3
6.891950000E-2,5.944306962E-3,7.627474843E-4,-5.507044261E-4,6.018292478E-3
7.894050001E-2,2.392282244E-3,-1.778966980E-3,-2.328854753E-4,2.990313277E-3
8.896050001E-2,2.555001527E-3,-2.180882730E-4,-2.084581181E-3,3.304704828E-3
9.898050000E-2,2.633031923E-3,3.106869524E-3,2.560606808E-4,4.080571335E-3
1.090005000E-1,3.595232032E-3,7.222749991E-4,-2.912188647E-4,3.678611554E-3
1.190215000E-1,9.350674227E-4,-7.261424325E-4,1.520000515E-4,1.193623866E-3
1.290415000E-1,1.478086226E-3,1.035272260E-3,-1.977384090E-5,1.804693478E-3
1.390615000E-1,1.527484041E-3,-4.953686148E-4,1.822455437E-3,2.428979493E-3
1.490815000E-1,-2.015585545E-3,1.300134580E-3,4.197684757E-4,2.434982667E-3
1.591025000E-1,-3.885520156E-3,-2.140778117E-3,3.041529795E-3,5.378763922E-3
1.691225000E-1,-1.208244357E-3,-3.274318296E-4,2.287855372E-3,2.607939461E-3
1.791425000E-1,-4.399580415E-3,-1.575781498E-4,4.099830985E-4,4.421450536E-3
1.891635000E-1,-3.140171524E-3,9.568850510E-5,6.603202783E-4,3.210273565E-3
1.991835000E-1,-2.626411151E-3,-2.999206306E-3,4.531690793E-4,4.012310583E-3
2.092035000E-1,-2.512960229E-3,-2.860988257E-3,2.238552319E-3,4.417164182E-3
2.192235000E-1,-4.868438002E-3,3.863028251E-4,2.391499467E-3,5.437847750E-3
2.292445000E-1,-8.855722845E-3,-1.312793931E-3,3.838927252E-3,9.740873547E-3
2.392645000E-1,-7.408382837E-3,-1.628416590E-3,1.427353360E-3,7.718368640E-3
2.492845000E-1,-7.255251054E-3,-1.092588296E-3,2.367715584E-3,7.709636446E-3
2.593045000E-1,-8.407633752E-3,-3.192608710E-4,1.584711717E-3,8.561632089E-3
2.693255000E-1,-8.480338380E-3,-1.043906901E-3,5.733650178E-3,1.028983115E-2
2.793455000E-1,-6.297280546E-3,7.444719085E-4,5.666332785E-3,8.503958368E-3
2.893655000E-1,-7.969746366E-3,-5.114749074E-4,3.083066549E-3,8.560593617E-3
2.993865000E-1,-6.207730155E-3,8.283269126E-4,3.226422239E-3,7.044986843E-3
3.094065000E-1,-7.713482250E-3,-2.454596106E-4,6.188389845E-3,9.892129584E-3
3.194265000E-1,-6.994727533E-3,-7.431420963E-4,1.289736945E-3,7.151356153E-3
3.294465000E-1,-8.422447369E-3,-7.703064475E-4,2.936635632E-3,8.952922458E-3
3.394675000E-1,-5.934691522E-3,-8.923008572E-4,4.685915075E-3,7.614102992E-3
3.494875000E-1,-5.772770848E-3,3.061217722E-4,1.979344990E-3,6.110351904E-3
3.595075000E-1,-1.067185402E-2,-3.684321418E-4,4.924592096E-3,1.175907385E-2
3.695275000E-1,-9.681157768E-3,-4.627080634E-4,3.012176137E-3,1.014948864E-2
3.795485000E-1,-1.043183729E-2,-1.173322089E-4,2.925407141E-3,1.083489746E-2
3.895685000E-1,-6.728712935E-3,-3.402389120E-4,4.355524667E-3,8.022589071E-3
3.995885000E-1,-7.275457960E-3,-2.004898386E-3,2.838064218E-3,8.062661754E-3
4.096095000E-1,-6.613928359E-3,-6.034970284E-7,6.464757025E-3,9.248628660E-3
4.196295000E-1,-7.275239099E-3,7.862502243E-4,3.009783803E-3,7.912401146E-3
4.296495000E-1,-4.320728127E-3,-1.795684686E-3,4.540835042E-3,6.520150145E-3
4.396695000E-1,-6.143049803E-3,-8.608172648E-4,3.896982642E-3,7.325608572E-3
4.496905000E-1,-7.955331355E-3,8.587858174E-4,3.231991315E-3,8.629633707E-3
4.597105000E-1,-2.763964701E-3,1.181120519E-3,2.392877825E-3,3.841928010E-3
4.697305000E-1,-5.221795756E-3,2.080469858E-3,4.256025422E-3,7.050479285E-3
4.797515000E-1,-4.869691562E-3,5.280368496E-4,8.173862589E-4,4.965968095E-3
4.897715000E-1,-3.957292531E-3,2.792975865E-4,1.636308269E-3,4.291348980E-3
4.997915000E-1,-5.278223660E-3,3.800846171E-4,2.975870389E-3,6.071236603E-3
5.098115000E-1,-3.088040743E-3,1.415788080E-3,1.759338425E-3,3.825666375E-3
5.198325000E-1,-3.706657793E-3,9.255596669E-4,1.969526056E-3,4.298256109E-3
5.298525000E-1,-3.604925703E-3,6.134372670E-4,1.926649013E-3,4.133251870E-3
5.398725000E-1,-5.181448068E-3,1.311545493E-3,-3.865256440E-4,5.358820555E-3
5.498925000E-1,-3.134557046E-4,1.574932132E-3,1.874764450E-3,2.468482822E-3
5.599135000E-1,-6.432221271E-4,8.362324443E-4,-3.498429433E-4,1.111489762E-3
5.699335000E-1,-2.025935333E-3,-7.438210305E-4,8.629606455E-4,2.324303073E-3
5.799535000E-1,7.972633466E-5,-8.941460401E-4,1.385097858E-5,8.978002445E-4
5.899745000E-1,8.829357103E-4,-8.360892534E-4,3.408316057E-3,3.618734455E-3
5.999945000E-1,-2.130164299E-3,-4.390121903E-4,3.957482986E-4,2.210644332E-3
6.100145000E-1,5.551008508E-4,5.527490284E-4,5.020084209E-4,9.304197427E-4
6.200345000E-1,3.088399302E-3,1.124175033E-3,-1.223093364E-3,3.506841475E-3
6.300555000E-1,8.454849012E-4,-1.693982165E-3,-1.129882876E-3,2.204780172E-3
6.400755000E-1,1.974530984E-3,7.611790206E-4,1.019417192E-3,2.348909857E-3
6.500955000E-1,9.630625136E-4,5.720946938E-4,-9.633062873E-4,1.477410149E-3
6.601155000E-1,2.026431262E-3,-4.001536872E-4,-3.215100151E-4,2.090434243E-3
6.701365000E-1,3.739376087E-3,7.300919387E-4,-1.002214034E-3,3.939593980E-3
6.801565000E-1,5.240263883E-3,1.417269930E-3,-3.713883925E-4,5.441226788E-3
6.901765000E-1,3.739306238E-3,4.348298535E-4,-8.563499432E-4,3.860676542E-3
7.001975000E-1,4.695584066E-3,-2.754079178E-4,-3.251923714E-3,5.718336042E-3
7.102175000E-1,7.246892434E-3,6.769385654E-4,-1.319267903E-3,7.397037486E-3
7.202375000E-1,6.093177479E-3,1.703657326E-3,-5.973097868E-4,6.355001106E-3
7.302575000E-1,3.776227590E-3,2.676809672E-4,-8.756101597E-4,3.885645514E-3
7.402785000E-1,4.894420505E-3,-1.463254914E-3,-1.954534790E-3,5.469613630E-3
7.502985000E-1,6.552504841E-3,2.156513510E-3,-4.974559881E-3,8.504828994E-3
7.603185000E-1,5.729556549E-3,1.308757463E-3,-2.176135313E-3,6.267075015E-3
7.703385000E-1,6.762596779E-3,1.577470335E-3,-3.645667573E-3,7.842959894E-3
7.803595000E-1,6.588191260E-3,1.831829431E-3,-4.880283959E-3,8.401013907E-3
7.903795000E-1,5.248354748E-3,1.583889127E-3,-3.155354178E-3,6.325361042E-3
8.003995000E-1,8.119907230E-3,1.766688889E-3,-3.668682184E-3,9.083683836E-3
8.104205000E-1,4.372040741E-3,7.962328382E-4,-3.223401960E-3,5.489904113E-3
8.204405000E-1,5.720764399E-3,1.812831382E-3,-4.737273790E-3,7.645604351E-3
8.304605000E-1,5.314632319E-3,4.647392780E-4,-1.887958031E-3,5.659124032E-3
8.404805000E-1,5.478816107E-3,-8.343746886E-4,-3.851142712E-3,6.748696707E-3
8.505015000E-1,4.176530056E-3,1.912143198E-3,-2.341929590E-3,5.155999333E-3
8.605215000E-1,3.253748640E-3,7.554537151E-4,-2.207156271E-3,4.003639511E-3
8.705415000E-1,5.827427842E-3,-9.532305412E-4,-2.563220914E-3,6.437209424E-3
8.805625000E-1,5.529952701E-3,2.883351408E-4,-2.589586191E-3,6.113057391E-3
8.905825000E-1,5.009537563E-3,-1.587958541E-4,8.780814824E-4,5.088389707E-3
9.006025000E-1,7.010967471E-3,1.702222507E-3,-1.732268021E-3,7.419702072E-3
9.106225000E-1,2.530731261E-3,1.946070697E-4,-2.920303959E-3,3.869192143E-3
9.206435000E-1,2.494879998E-3,1.414533355E-3,-1.562532270E-3,3.266012541E-3
9.306635000E-1,5.054444075E-3,8.685853099E-4,-4.759626463E-4,5.150571404E-3
9.406835000E-1,3.799896222E-3,3.877738491E-4,-2.942000749E-3,4.821301511E-3
9.507035000E-1,1.790008508E-3,-2.933188109E-3,-6.005495088E-4,3.488320893E-3
9.607245000E-1,2.754472196E-3,7.473430596E-4,-6.691213930E-4,2.931443700E-3
9.707445000E-1,9.445878677E-4,-5.509480834E-4,-7.777784485E-4,1.341912570E-3
9.807645000E-1,2.382891253E-3,1.350578386E-4,6.445392501E-4,2.472214025E-3
9.907855000E-1,2.801007591E-3,7.214860525E-4,-3.779237624E-3,4.759077922E-3
1.000805500E0,2.050764393E-3,1.942560310E-3,-9.449361823E-5,2.826323441E-3
1.010825500E0,-1.474083401E-4,9.374833899E-4,-6.819869159E-4,1.168636162E-3
1.020845375E0,7.364954799E-4,7.283997256E-4,-7.586285938E-5,1.038627424E-3
1.030866375E0,3.703106195E-4,1.449317439E-3,6.232169690E-4,1.620509297E-3
1.040886375E0,-1.423028763E-3,-5.551208742E-4,-5.264448700E-4,1.615646696E-3
1.050906375E0,-1.003580634E-3,2.189533086E-3,5.734406877E-4,2.475896494E-3
1.060926375E0,-1.153316814E-3,1.390168094E-3,1.609341474E-3,2.419232727E-3
1.070947375E0,-1.512577292E-3,-1.291368855E-3,3.284736304E-3,3.839923979E-3
1.080967375E0,-1.633817796E-3,1.344460878E-3,-1.362474286E-3,2.516599257E-3
1.090987375E0,-3.266867716E-3,-9.330743924E-4,3.661836381E-4,3.417183482E-3
1.101008375E0,-4.419384990E-3,-2.494547516E-5,9.609729750E-4,4.522726503E-3
1.111028375E0,-2.770622727E-3,4.474993329E-4,2.231833525E-3,3.585761680E-3
1.121048375E0,-3.205783200E-3,-1.098417444E-3,2.421419369E-3,4.164953609E-3
1.131068375E0,-3.634019289E-3,7.743174210E-4,2.767757396E-4,3.725891635E-3
1.141089375E0,-4.612133373E-3,-2.606122289E-3,6.808822509E-4,5.341090551E-3
1.151109375E0,-2.197444905E-3,3.180287313E-4,2.392762108E-3,3.264232971E-3
1.161129375E0,-4.516025539E-3,-7.196445949E-5,3.096616128E-4,4.527201771E-3
1.171149375E0,-4.677945282E-3,1.197830890E-3,-1.662452705E-4,4.831729338E-3
1.181170375E0,-6.762675475E-3,1.261622063E-3,-2.459089155E-4,6.883744694E-3
1.191190375E0,-5.068106111E-3,1.506366651E-3,1.247059088E-3,5.432310412E-3
1.201210375E0,-6.465525832E-3,3.363355063E-4,7.282408769E-4,6.515096364E-3
1.211231375E0,-4.218616057E-3,1.142988913E-5,1.684848336E-3,4.542638660E-3
1.221251375E0,-1.630356070E-3,1.202567248E-3,-5.852996837E-4,2.108744797E-3
1.231271375E0,-5.112705287E-3,-2.935966477E-4,2.000629669E-3,5.498042689E-3
1.241291375E0,-6.667757872E-3,-1.617034432E-4,2.681821119E-3,7.188693036E-3
1.251312375E0,-5.392370280E-3,5.240605678E-4,1.149704447E-3,5.538421890E-3
1.261332375E0,-5.490141455E-3,-4.597934894E-4,3.371497733E-4,5.519667854E-3
1.271352375E0,-6.709070411E-3,5.303698126E-4,4.199740360E-4,6.743092473E-3
1.281373375E0,-3.730390687E-3,1.903679222E-3,3.463918692E-4,4.202356075E-3
1.291393375E0,-6.312592421E-3,1.700746361E-3,6.771564367E-4,6.572663242E-3
