"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
8.049374999E-3,2.899109572E-2,1.187293208E-3,-4.623642191E-3,2.938147994E-2
1.806937500E-2,2.749455720E-2,-2.545971423E-3,-5.673448555E-3,2.818901674E-2
2.809037500E-2,2.174798958E-2,-3.388862126E-3,-5.229499657E-3,2.262315416E-2
3.811037500E-2,1.924055256E-2,-4.703355953E-4,-6.697854493E-3,2.037845267E-2
4.813037500E-2,1.612731814E-2,-3.501811763E-3,-5.784390029E-3,1.748748822E-2
5.815137501E-2,1.055411994E-2,-3.759339685E-3,-5.459484644E-3,1.246306765E-2
6.817137501E-2,5.807301961E-3,-4.168933257E-3,-3.741212888E-3,8.068545993E-3
7.819137500E-2,-6.695687771E-4,-2.105547115E-3,-2.650515642E-3,3.450635328E-3
8.821237501E-2,-8.646802045E-3,-7.555906195E-4,-1.753562945E-3,8.855116363E-3
9.823237501E-2,-1.298493147E-2,-6.159674376E-4,3.276695265E-3,1.340614012E-2
1.082523750E-1,-1.788701303E-2,-4.223557189E-4,4.675387405E-3,1.849277878E-2
1.182733750E-1,-3.226733208E-2,-1.917593181E-5,7.410603575E-3,3.310737278E-2
1.282933750E-1,-1.799332537E-2,-9.440906346E-3,8.056687191E-3,2.185865227E-2
1.383133750E-1,-3.211008012E-2,2.738256007E-4,1.465442870E-2,3.529708921E-2
1.483333750E-1,-3.983111680E-2,1.804057322E-2,9.678045288E-3,4.478442484E-2
1.583543750E-1,-6.439493597E-2,2.267973311E-2,8.634535596E-3,6.881593767E-2
1.683743750E-1,-7.195539027E-2,1.116528921E-2,8.513361216E-3,7.331247637E-2
1.783943750E-1,-6.936673820E-2,-1.214413438E-2,8.063650690E-3,7.088192175E-2
1.884153750E-1,-6.266969442E-2,-1.729442179E-2,6.666291039E-3,6.535309526E-2
1.984353750E-1,-6.542697549E-2,1.427677926E-3,6.243681535E-3,6.573972121E-2
2.084553750E-1,-7.716112584E-2,1.912225224E-2,6.864464376E-3,7.979110691E-2
2.184763750E-1,-9.148895741E-2,1.670196280E-2,6.018872373E-3,9.319555629E-2
2.284963750E-1,-9.875912219E-2,6.646731636E-4,5.488370545E-3,9.891374130E-2
2.385163750E-1,-9.528993070E-2,-1.785008609E-2,6.049026735E-3,9.713592122E-2
2.485363750E-1,-9.089757502E-2,-1.922347769E-2,4.496669862E-3,9.301683331E-2
2.585573750E-1,-8.948501199E-2,-1.034502033E-2,6.543633994E-3,9.031835895E-2
2.685773750E-1,-9.662362188E-2,3.451485652E-3,9.519450366E-3,9.715275083E-2
