"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.741386644596290E9,"2025-03-07 14:30:44.596 UTC-08:00"
"PAUSE",7.626061125003616E0,1.741386652222354E9,"2025-03-07 14:30:52.222 UTC-08:00"
"START",7.626061125003616E0,1.741386652982095E9,"2025-03-07 14:30:52.982 UTC-08:00"
"PAUSE",2.424256837500434E1,1.741386669598608E9,"2025-03-07 14:31:09.599 UTC-08:00"
"START",2.424256837500434E1,1.741386684300429E9,"2025-03-07 14:31:24.300 UTC-08:00"
"PAUSE",3.747930287499912E1,1.741386697537168E9,"2025-03-07 14:31:37.537 UTC-08:00"
"START",3.747930287499912E1,1.741386702722194E9,"2025-03-07 14:31:42.722 UTC-08:00"
"PAUSE",5.998658749999595E1,1.741386725229488E9,"2025-03-07 14:32:05.229 UTC-08:00"
"START",5.998658749999595E1,1.741386726815522E9,"2025-03-07 14:32:06.816 UTC-08:00"
"PAUSE",7.864177708333591E1,1.741386745470719E9,"2025-03-07 14:32:25.471 UTC-08:00"
"START",7.864177708333591E1,1.741386752517742E9,"2025-03-07 14:32:32.518 UTC-08:00"
"PAUSE",9.253939420833194E1,1.741386766415364E9,"2025-03-07 14:32:46.415 UTC-08:00"
"START",9.253939420833194E1,1.741386769234628E9,"2025-03-07 14:32:49.235 UTC-08:00"
"PAUSE",1.104058479583327E2,1.741386787101089E9,"2025-03-07 14:33:07.101 UTC-08:00"
"START",1.104058479583327E2,1.741386796615066E9,"2025-03-07 14:33:16.615 UTC-08:00"
"PAUSE",1.308132742500020E2,1.741386817022500E9,"2025-03-07 14:33:37.023 UTC-08:00"
"START",1.308132742500020E2,1.741386828134523E9,"2025-03-07 14:33:48.135 UTC-08:00"
"PAUSE",1.477543517916638E2,1.741386845075607E9,"2025-03-07 14:34:05.076 UTC-08:00"
"START",1.477543517916638E2,1.741386865035092E9,"2025-03-07 14:34:25.035 UTC-08:00"
"PAUSE",1.681859497916594E2,1.741386885466697E9,"2025-03-07 14:34:45.467 UTC-08:00"
"START",1.681859497916594E2,1.741386907552117E9,"2025-03-07 14:35:07.552 UTC-08:00"
"PAUSE",1.902790887083247E2,1.741386929645265E9,"2025-03-07 14:35:29.645 UTC-08:00"
"START",1.902790887083247E2,1.741386931577385E9,"2025-03-07 14:35:31.577 UTC-08:00"
"PAUSE",2.108943999583280E2,1.741386952192705E9,"2025-03-07 14:35:52.193 UTC-08:00"
"START",2.108943999583280E2,1.741386959721113E9,"2025-03-07 14:35:59.721 UTC-08:00"
"PAUSE",2.295721542499960E2,1.741386978398875E9,"2025-03-07 14:36:18.399 UTC-08:00"
"START",2.295721542499960E2,1.741386980057092E9,"2025-03-07 14:36:20.057 UTC-08:00"
"PAUSE",2.505018808750028E2,1.741387000986827E9,"2025-03-07 14:36:40.987 UTC-08:00"
"START",2.505018808750028E2,1.741387002604522E9,"2025-03-07 14:36:42.605 UTC-08:00"
"PAUSE",2.682654119999934E2,1.741387020368061E9,"2025-03-07 14:37:00.368 UTC-08:00"
"START",2.682654119999934E2,1.741387026208129E9,"2025-03-07 14:37:06.208 UTC-08:00"
"PAUSE",2.869856183333322E2,1.741387044928342E9,"2025-03-07 14:37:24.928 UTC-08:00"
"START",2.869856183333322E2,1.741387054536503E9,"2025-03-07 14:37:34.537 UTC-08:00"
"PAUSE",3.045702537916659E2,1.741387072121145E9,"2025-03-07 14:37:52.121 UTC-08:00"
"START",3.045702537916659E2,1.741387075922875E9,"2025-03-07 14:37:55.923 UTC-08:00"
"PAUSE",3.204468730416702E2,1.741387091799499E9,"2025-03-07 14:38:11.799 UTC-08:00"
