"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.826583324E-3,-1.257648692E-4,-5.245891865E-3,-3.842161596E-2,3.877828995E-2
1.284758333E-2,-2.713168971E-3,-6.083108019E-3,-3.737802431E-2,3.796685647E-2
2.286758334E-2,-2.487066202E-3,-1.253275201E-2,-2.478872798E-2,2.788792581E-2
3.288758332E-2,-2.280926332E-3,-1.201662328E-2,-1.138155907E-2,1.670753563E-2
4.290858333E-2,-1.794367097E-3,-1.926438650E-3,-3.874906339E-3,4.684636409E-3
5.292858333E-2,-6.706248969E-4,2.469075844E-5,-2.662146697E-3,2.745427548E-3
6.294858333E-2,-4.496521316E-3,-3.880993463E-4,-4.936220124E-3,6.688467251E-3
7.296870832E-2,-4.845999181E-3,-3.607105929E-3,-2.659853315E-3,6.600737906E-3
8.298970833E-2,-4.046518356E-3,-9.757410735E-3,9.471321246E-4,1.060558505E-2
9.300970833E-2,-2.418345772E-3,-1.086773537E-2,5.360870273E-4,1.114645494E-2
1.030297083E-1,-2.747512423E-3,-1.616103575E-2,4.439216107E-3,1.698336070E-2
1.130497083E-1,-2.715759911E-3,-1.771894470E-2,4.096551798E-3,1.838798765E-2
1.230707083E-1,-1.035572030E-3,-1.811522432E-2,1.565813273E-2,2.396687051E-2
1.330907083E-1,2.022050321E-4,-1.244512573E-2,3.106603213E-2,3.346670574E-2
1.431107083E-1,-6.862254813E-4,4.767975770E-4,4.394055530E-2,4.394849988E-2
1.531307083E-1,1.460135914E-3,8.153169416E-3,4.905213043E-2,4.974653423E-2
1.631517083E-1,1.945896540E-3,-6.722803228E-4,5.377791077E-2,5.381730354E-2
1.731717083E-1,9.232661687E-4,1.177661121E-3,5.601062998E-2,5.603061643E-2
1.831917083E-1,4.104145803E-3,-5.054567009E-4,5.895901471E-2,5.910384857E-2
1.932117083E-1,3.010211512E-4,-4.282796290E-3,6.172888726E-2,6.187801290E-2
2.032327083E-1,4.627859220E-3,-4.476408008E-3,7.377596200E-2,7.405638310E-2
2.132527083E-1,5.700200796E-3,-2.956710756E-3,8.235768974E-2,8.260764787E-2
2.232727083E-1,8.352975361E-3,4.710436333E-4,9.012985975E-2,9.051732264E-2
2.332927083E-1,6.105634384E-3,-7.144343108E-4,9.560561180E-2,9.580303855E-2
2.433137083E-1,7.426029537E-3,7.726749172E-4,9.691402316E-2,9.720118737E-2
2.533337083E-1,5.802747793E-3,-2.022102475E-3,9.854242951E-2,9.873384016E-2
2.633537083E-1,3.804578446E-3,-1.684147399E-3,9.918131679E-2,9.926854875E-2
2.733737083E-1,4.258490633E-3,-7.666165475E-4,9.677396715E-2,9.687065170E-2
2.833947083E-1,-2.619586885E-4,2.944498323E-3,9.195578098E-2,9.200328445E-2
2.934147083E-1,2.591303550E-3,-6.755678914E-4,9.197968245E-2,9.201865696E-2
3.034347083E-1,-1.034856774E-3,4.059418570E-4,8.907789737E-2,8.908483326E-2
3.134547083E-1,-2.447556704E-3,-4.832181148E-4,8.577493578E-2,8.581120930E-2
3.234757083E-1,-1.093339175E-3,-6.832215004E-4,8.080521226E-2,8.081549672E-2
3.334957083E-1,-1.575332135E-5,-2.813706407E-3,7.632242143E-2,7.637427057E-2
3.435157083E-1,-1.841616817E-3,-2.613436664E-3,7.492532581E-2,7.499350673E-2
3.535357083E-1,6.439136341E-4,-8.500524797E-3,7.119706273E-2,7.170561546E-2
3.635567083E-1,2.165377606E-3,-1.403696928E-2,6.961540878E-2,7.104949336E-2
3.735767083E-1,3.372770734E-3,-1.036035735E-2,6.603743881E-2,6.693023167E-2
3.835967083E-1,1.005837042E-2,2.710170578E-3,6.343127042E-2,6.428096069E-2
3.936167083E-1,6.352207623E-3,1.250688569E-3,5.529222637E-2,5.566996552E-2
4.036377083E-1,9.669973515E-3,-1.111268997E-3,5.097337812E-2,5.189439838E-2
4.136577083E-1,9.430324659E-3,1.741799177E-3,4.911267757E-2,5.004018371E-2
4.236777083E-1,8.192220703E-3,1.088259509E-3,4.634911567E-2,4.708011589E-2
4.336977083E-1,6.016624160E-3,-6.798529066E-4,4.191007465E-2,4.234520426E-2
4.437187083E-1,3.814722411E-3,1.505803317E-3,3.762850910E-2,3.785134407E-2
4.537387083E-1,4.874295555E-4,4.641182721E-3,3.692578897E-2,3.721951176E-2
4.637587083E-1,-2.354961820E-3,8.740319870E-3,3.594840690E-2,3.707056778E-2
4.737787083E-1,-1.331593841E-3,1.115633873E-3,2.804935165E-2,2.810309429E-2
4.837997083E-1,-5.295176990E-3,5.979153793E-4,2.056320570E-2,2.124245351E-2
4.938197083E-1,-8.315975778E-3,-2.022086177E-3,2.157843672E-2,2.321364290E-2
5.038397083E-1,-7.868564688E-3,-2.178147435E-3,1.382890437E-2,1.605917907E-2
5.138607083E-1,-7.533855736E-3,-4.169159103E-3,1.235850621E-2,1.506232205E-2
5.238807083E-1,-4.742063582E-3,-1.709321514E-2,8.528880775E-3,1.968265678E-2
5.339007083E-1,-4.207059741E-3,-2.112668194E-2,3.211154137E-3,2.177952140E-2
5.439207083E-1,-5.878238007E-4,-3.523719730E-3,7.610460161E-4,3.652578349E-3
5.539417083E-1,7.184576709E-3,9.426677600E-3,-1.946641598E-3,1.201123668E-2
5.639617083E-1,7.573398296E-3,5.097709596E-3,-4.087822977E-3,1.000266472E-2
5.739817083E-1,6.121778861E-3,-2.040676773E-4,-5.261374637E-3,8.074644457E-3
5.840017083E-1,7.803831249E-3,1.757084159E-3,-6.065116730E-3,1.003856403E-2
5.940227083E-1,4.336435813E-3,-2.078811638E-3,-6.616981700E-3,8.179888765E-3
6.040427083E-1,6.645662710E-3,8.964720182E-4,-1.107324939E-2,1.294547593E-2
6.140627083E-1,3.086793236E-3,1.327846432E-3,-1.356475335E-2,1.397476304E-2
6.240827083E-1,-3.783097491E-3,3.563251812E-4,-1.299989689E-2,1.354385888E-2
6.341037083E-1,-5.251198076E-3,2.222468145E-3,-1.552710310E-2,1.654102102E-2
6.441237083E-1,-8.000912145E-3,1.649622107E-3,-2.343722433E-2,2.482013965E-2
6.541437083E-1,-1.121519133E-2,-1.508409623E-4,-3.175219148E-2,3.367498974E-2
6.641637083E-1,-9.784806520E-3,5.240039900E-4,-3.783112019E-2,3.907954291E-2
6.741847083E-1,-1.233370695E-2,-2.981241094E-3,-4.006309807E-2,4.202451609E-2
6.842047083E-1,-6.638270803E-3,-1.138333697E-3,-3.861007839E-2,3.919311925E-2
6.942247083E-1,-3.259796649E-3,-4.484714009E-5,-3.501269966E-2,3.516414969E-2
7.042447083E-1,2.095196396E-5,-4.911927972E-4,-3.042673506E-2,3.043070679E-2
7.142657083E-1,7.264846936E-4,-6.705564447E-4,-3.356688842E-2,3.358144464E-2
7.242857083E-1,5.121232942E-3,-1.605059719E-3,-3.466304764E-2,3.507606186E-2
7.343057083E-1,8.711803705E-3,-1.527763670E-3,-3.670741990E-2,3.775796951E-2
7.443257083E-1,8.636969142E-3,-1.454793150E-3,-3.895885870E-2,3.993127008E-2
7.543467083E-1,8.492685854E-3,-2.182486933E-4,-4.341557249E-2,4.423895659E-2
7.643667083E-1,2.604702953E-3,-1.527991379E-3,-4.247893766E-2,4.258614070E-2
7.743867083E-1,2.791184001E-3,-2.838495420E-3,-4.211825877E-2,4.230597460E-2
7.844067083E-1,-2.163094468E-3,-1.180677908E-3,-4.478115588E-2,4.484891192E-2
7.944277083E-1,-6.460846402E-3,-1.336436486E-3,-4.818006232E-2,4.862969262E-2
8.044477083E-1,-1.140846591E-2,-1.464002067E-3,-5.034334585E-2,5.164057385E-2
8.144677083E-1,-9.165717289E-3,-3.045659978E-4,-5.268743634E-2,5.347961371E-2
8.244877083E-1,-1.172395051E-2,-3.104347270E-3,-5.364084989E-2,5.499480670E-2
8.345087083E-1,-8.601067588E-3,5.047162995E-5,-5.182741582E-2,5.253629167E-2
8.445287083E-1,-8.229291067E-3,-7.311659865E-4,-4.551173002E-2,4.625552296E-2
8.545487083E-1,-1.269239932E-3,-1.748571405E-3,-4.468631744E-2,4.473852298E-2
