segment,start,end,keep,comment
0, 2, 9,, Physical Pendulum (z)
1, 28, 35,, Physical Pendulum (z)
2, 48, 55,, Physical Pendulum (z)
3, 67, 74,, Physical Pendulum (z)
4, 87.5, 94.5,, Physical Pendulum (z)
5, 106.5, 113.5,, Physical Pendulum (z)
6, 120, 127,, Physical Pendulum (z)
7, 141, 148,, Physical Pendulum (z)
8, 160, 167,, Physical Pendulum (z)
9, 179, 186,, Physical Pendulum (z)
10, 207.5, 215,, Physical Pendulum (z)
11, 236, 244,, Physical Pendulum (z)
12, 278, 285,, Physical Pendulum (z)
13, 302, 309,, Physical Pendulum (z)
14, 332, 339,, Physical Pendulum (z)
15, 358, 365,, Physical Pendulum (z)
16, 382, 385,false, not a trial
17, 386.5, 390.5,false, not a trial
18, 392.5, 396.5, , Physical Pendulum (z)
19, 409, 413, , Physical Pendulum (z)
20, 424.5, 428, , Physical Pendulum (z)
21, 442.5, 446.5, , Physical Pendulum (z)
22, 460, 464, , Physical Pendulum (z)
