"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.741387838250800E9,"2025-03-07 14:50:38.251 UTC-08:00"
"PAUSE",2.722952904166596E1,1.741387865480341E9,"2025-03-07 14:51:05.480 UTC-08:00"
"START",2.722952904166596E1,1.741387870114507E9,"2025-03-07 14:51:10.115 UTC-08:00"
"PAUSE",4.682208591666131E1,1.741387889707072E9,"2025-03-07 14:51:29.707 UTC-08:00"
"START",4.682208591666131E1,1.741387890676765E9,"2025-03-07 14:51:30.677 UTC-08:00"
"PAUSE",6.617681229165464E1,1.741387910031499E9,"2025-03-07 14:51:50.031 UTC-08:00"
"START",6.617681229165464E1,1.741387919962300E9,"2025-03-07 14:51:59.962 UTC-08:00"
"PAUSE",8.514431049997802E1,1.741387938929805E9,"2025-03-07 14:52:18.930 UTC-08:00"
"START",8.514431049997802E1,1.741387946097886E9,"2025-03-07 14:52:26.098 UTC-08:00"
"PAUSE",1.043372330833226E2,1.741387965290816E9,"2025-03-07 14:52:45.291 UTC-08:00"
"START",1.043372330833226E2,1.741387970854517E9,"2025-03-07 14:52:50.855 UTC-08:00"
"PAUSE",1.192225162083196E2,1.741387985739806E9,"2025-03-07 14:53:05.740 UTC-08:00"
"START",1.192225162083196E2,1.741387987452202E9,"2025-03-07 14:53:07.452 UTC-08:00"
"PAUSE",1.393423782499885E2,1.741388007572072E9,"2025-03-07 14:53:27.572 UTC-08:00"
"START",1.393423782499885E2,1.741388012914434E9,"2025-03-07 14:53:32.914 UTC-08:00"
"PAUSE",1.590023100833205E2,1.741388032574324E9,"2025-03-07 14:53:52.574 UTC-08:00"
"START",1.590023100833205E2,1.741388035563667E9,"2025-03-07 14:53:55.564 UTC-08:00"
"PAUSE",1.768566414999950E2,1.741388053417994E9,"2025-03-07 14:54:13.418 UTC-08:00"
"START",1.768566414999950E2,1.741388058041836E9,"2025-03-07 14:54:18.042 UTC-08:00"
"PAUSE",2.058518233749928E2,1.741388087037025E9,"2025-03-07 14:54:47.037 UTC-08:00"
"START",2.058518233749928E2,1.741388093180049E9,"2025-03-07 14:54:53.180 UTC-08:00"
"PAUSE",2.351878257916687E2,1.741388122516061E9,"2025-03-07 14:55:22.516 UTC-08:00"
"START",2.351878257916687E2,1.741388127762398E9,"2025-03-07 14:55:27.762 UTC-08:00"
"PAUSE",2.739157427916798E2,1.741388166490328E9,"2025-03-07 14:56:06.490 UTC-08:00"
"START",2.739157427916798E2,1.741388187734646E9,"2025-03-07 14:56:27.735 UTC-08:00"
"PAUSE",3.014552377083455E2,1.741388215274151E9,"2025-03-07 14:56:55.274 UTC-08:00"
"START",3.014552377083455E2,1.741388221537813E9,"2025-03-07 14:57:01.538 UTC-08:00"
"PAUSE",3.311667652916804E2,1.741388251249351E9,"2025-03-07 14:57:31.249 UTC-08:00"
"START",3.311667652916804E2,1.741388261519955E9,"2025-03-07 14:57:41.520 UTC-08:00"
"PAUSE",3.567040998750162E2,1.741388287057298E9,"2025-03-07 14:58:07.057 UTC-08:00"
"START",3.567040998750162E2,1.741388288508113E9,"2025-03-07 14:58:08.508 UTC-08:00"
"PAUSE",3.819981897083490E2,1.741388313802212E9,"2025-03-07 14:58:33.802 UTC-08:00"
"START",3.819981897083490E2,1.741388315533706E9,"2025-03-07 14:58:35.534 UTC-08:00"
"PAUSE",3.862874150000134E2,1.741388319822933E9,"2025-03-07 14:58:39.823 UTC-08:00"
"START",3.862874150000134E2,1.741388321627858E9,"2025-03-07 14:58:41.628 UTC-08:00"
"PAUSE",3.903855681250134E2,1.741388325726012E9,"2025-03-07 14:58:45.726 UTC-08:00"
"START",3.903855681250134E2,1.741388352051725E9,"2025-03-07 14:59:12.052 UTC-08:00"
"PAUSE",4.082197369583446E2,1.741388369885903E9,"2025-03-07 14:59:29.886 UTC-08:00"
"START",4.082197369583446E2,1.741388375015007E9,"2025-03-07 14:59:35.015 UTC-08:00"
"PAUSE",4.238427246666834E2,1.741388390638000E9,"2025-03-07 14:59:50.638 UTC-08:00"
"START",4.238427246666834E2,1.741388394952469E9,"2025-03-07 14:59:54.952 UTC-08:00"
"PAUSE",4.405880457083549E2,1.741388411697796E9,"2025-03-07 15:00:11.698 UTC-08:00"
"START",4.405880457083549E2,1.741388418448717E9,"2025-03-07 15:00:18.449 UTC-08:00"
"PAUSE",4.582709165833658E2,1.741388436131594E9,"2025-03-07 15:00:36.132 UTC-08:00"
"START",4.582709165833658E2,1.741388438717798E9,"2025-03-07 15:00:38.718 UTC-08:00"
"PAUSE",4.750957336250431E2,1.741388455542621E9,"2025-03-07 15:00:55.543 UTC-08:00"
